         19185552 function calls (19185235 primitive calls) in 79.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        2    0.000    0.000    0.000    0.000 common.py:248(stringify_path)
        1    0.000    0.000    0.000    0.000 frame.py:1933(to_numpy)
        1    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        3    0.000    0.000    0.000    0.000 base.py:649(_simple_new)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3068(prod)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 numeric.py:300(full)
        1    0.000    0.000    0.000    0.000 readers.py:1685(_clean_options)
        1    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.000    0.000 series.py:6418(_reduce)
       18    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 missing.py:305(_isna_string_dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1633(as_array)
        2    0.000    0.000    0.000    0.000 generic.py:6236(__finalize__)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 base_parser.py:362(_make_index)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2925(min)
        3    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
        1    0.000    0.000    0.000    0.000 managers.py:317(apply)
       94    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 cProfile.py:52(create_stats)
       92    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        3    0.000    0.000    0.000    0.000 series.py:784(name)
        1    0.000    0.000    0.000    0.000 python_parser.py:923(_get_index_name)
        1    0.000    0.000    0.000    0.000 base_parser.py:191(_validate_parse_dates_presence)
        3    0.000    0.000    0.000    0.000 generic.py:807(_set_axis)
        3    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
        1    0.000    0.000    0.000    0.000 _asarray.py:27(require)
        1    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 common.py:550(infer_compression)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 arrayprint.py:423(_get_formatdict)
        1    0.000    0.000    0.000    0.000 common.py:301(maybe_iterable_to_list)
        1    0.000    0.000    0.000    0.000 base_parser.py:350(_maybe_make_multi_index_columns)
        2    0.000    0.000    0.000    0.000 enum.py:1556(__and__)
        1    0.000    0.000    0.000    0.000 nanops.py:482(nanany)
        2    0.000    0.000    0.000    0.000 blocks.py:2716(new_block)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.000    0.000 _methods.py:67(_all)
        3    0.000    0.000    0.000    0.000 common.py:1081(is_numeric_dtype)
        1    0.000    0.000    0.000    0.000 base_parser.py:871(_do_date_conversions)
        6    0.000    0.000    0.000    0.000 common.py:1434(_is_dtype_type)
        4    0.000    0.000    0.000    0.000 series.py:734(name)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        7    0.000    0.000    0.000    0.000 construction.py:696(_sanitize_ndim)
        2    0.000    0.000    0.000    0.000 common.py:1277(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 series.py:664(_constructor_from_mgr)
        4    0.000    0.000    0.000    0.000 common.py:568(require_length_match)
        3    0.000    0.000    0.000    0.000 common.py:1571(validate_all_hashable)
        1    0.000    0.000    0.000    0.000 construction.py:769(_try_cast)
        1    0.000    0.000    0.000    0.000 inference.py:273(is_dict_like)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        3    0.000    0.000    0.000    0.000 common.py:188(_expand_user)
        3    0.000    0.000    0.000    0.000 managers.py:236(set_axis)
        1    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
       46    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 config.py:635(_get_root)
        2    0.000    0.000    0.000    0.000 blocks.py:2645(maybe_coerce_values)
        1    0.000    0.000    0.000    0.000 managers.py:1782(_consolidate_inplace)
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 range.py:201(_simple_new)
        1    0.000    0.000    0.000    0.000 common.py:1233(dedup_names)
        1    0.000    0.000    0.000    0.000 generic.py:586(_get_axis)
        1    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
        1    0.000    0.000    0.000    0.000 _methods.py:58(_any)
        1    0.000    0.000    0.000    0.000 python_parser.py:1355(count_empty_vals)
        6    0.000    0.000    0.000    0.000 common.py:1331(is_ea_or_datetimelike_dtype)
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
       11    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
       48    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        3    0.000    0.000    0.000    0.000 generic.py:6284(__getattr__)
        5    0.000    0.000    0.000    0.000 series.py:831(_values)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:1764(is_consolidated)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        4    0.000    0.000    0.000    0.000 _index_tricks_impl.py:778(__getitem__)
